ID;Code;Path;Name;Level;Leaf;New with tags;New without tags;Very good;Good;Satisfactory;Not fully functional;Brand;Colour;Author;Title;ISBN;Package size;All shippable;Heavy shipping;Light bulky;Heavy bulky;sql check;id;code;title;sorting_order;color_field_visibility;brand_field_visibility;size_field_visibility;size_group_id;isbn_field_visibility;book_title_field_visibility;author_field_visibility;package_size_group
5466;OS_GEOMETRY_SETS;Home/Office supplies/Technical drawing tools/Geometry sets;Geometry sets;4;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;All shippable;;;;;;;;;;;;;;;;;
5438;OS_FASTENERS;Home/Office supplies/Tape, clips & fasteners;Tape, clips & fasteners;3;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;-;;;;;;;;;;;;;;;;;
5467;OS_TAPE_DISPENSERS;Home/Office supplies/Tape, clips & fasteners/Tape dispensers;Tape dispensers;4;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;All shippable;;;;;;;;;;;;;;;;;
5468;OS_TRANSPARENT_TAPE;Home/Office supplies/Tape, clips & fasteners/Transparent tape;Transparent tape;4;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;All shippable;;;;;;;;;;;;;;;;;
5469;OS_PAPER_CLIPS;Home/Office supplies/Tape, clips & fasteners/Paper clips;Paper clips;4;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;All shippable;;;;;;;;;;;;;;;;;
5470;OS_BINDER_CLIPS;Home/Office supplies/Tape, clips & fasteners/Binder clips;Binder clips;4;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;All shippable;;;;;;;;;;;;;;;;;
5471;OS_RUBBER_BANDS;Home/Office supplies/Tape, clips & fasteners/Rubber bands;Rubber bands;4;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;All shippable;;;;;;;;;;;;;;;;;
5472;OS_PINS_TACKS;Home/Office supplies/Tape, clips & fasteners/Pins & tacks;Pins & tacks;4;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;All shippable;;;;;;;;;;;;;;;;;
5439;OS_STAPLERS_PUNCHES;Home/Office supplies/Staplers & hole punches;Staplers & hole punches;3;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;-;;;;;;;;;;;;;;;;;
5473;OS_STAPLERS;Home/Office supplies/Staplers & hole punches/Staplers;Staplers;4;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;All shippable;;;;;;;;;;;;;;;;;
